obj: 'INIT', pid: 01
    obj: 'O050', pid: 05, owner: 'enti', type: 'ANON', perm: rw-, vaddr: 0x0650E000, size: 0x020000, phys: 0x887E68D000, tz0 offset: 0x5B9000
    obj: 'O049', pid: 13, owner: 'sbio', type: 'ANON', perm: rw-, vaddr: 0x00315000, size: 0x010000, phys: 0x887E67D000, tz0 offset: 0x5A9000

obj: 'skg ', pid: 06
    obj: 'F000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x01065000, size: 0x00A000, phys: 0x887E1CF000, tz0 offset: 0x0FB000
    obj: 'F001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x0106F000, size: 0x002000, phys: 0x887E1D9000, tz0 offset: 0x105000
    obj: 'F002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x010A3000, size: 0x001000, phys: 0x887E3D8000, tz0 offset: 0x304000
    obj: 'O004', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x010A7000, size: 0x001000, phys: 0x887E3F3000, tz0 offset: 0x31F000
    obj: 'O005', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x010AA000, size: 0x001000, phys: 0x887E3F4000, tz0 offset: 0x320000
    obj: 'O012', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x010B0000, size: 0x001000, phys: 0x887E64E000, tz0 offset: 0x57A000
    obj: 'O023', pid: 06, owner: 'skg ', type: '_ool', perm: rw-, vaddr: 0x010B6000, size: 0x001000, phys: 0x887E659000, tz0 offset: 0x585000
    obj: 'O029', pid: 07, owner: 'sars', type: '_ool', perm: rw-, vaddr: 0x04C84000, size: 0x001000, phys: 0x887E65D000, tz0 offset: 0x589000
    obj: 'O031', pid: 09, owner: 'xART', type: '_ool', perm: rw-, vaddr: 0x0FEC7000, size: 0x001000, phys: 0x887E65F000, tz0 offset: 0x58B000
    obj: 'O030', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x084DD000, size: 0x001000, phys: 0x887E65E000, tz0 offset: 0x58A000
    obj: 'O037', pid: 11, owner: 'pass', type: '_ool', perm: rw-, vaddr: 0x0D0E0000, size: 0x001000, phys: 0x887E66F000, tz0 offset: 0x59B000
    obj: 'O048', pid: 13, owner: 'sbio', type: '_ool', perm: rw-, vaddr: 0x00312000, size: 0x001000, phys: 0x887E67C000, tz0 offset: 0x5A8000

obj: 'sars', pid: 07
    obj: 'G000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x04C3A000, size: 0x009000, phys: 0x887E1DB000, tz0 offset: 0x107000
    obj: 'G001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x04C43000, size: 0x002000, phys: 0x887E1E4000, tz0 offset: 0x110000
    obj: 'G002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x04C6B000, size: 0x001000, phys: 0x887E3D9000, tz0 offset: 0x305000
    obj: 'PDIB', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x0004D000, size: 0x001000, phys: 0x887E3D3000, tz0 offset: 0x2FF000
    obj: 'O006', pid: 07, owner: 'sars', type: '_hep', perm: rw-, vaddr: 0x04C77000, size: 0x008000, phys: 0x887E3F5000, tz0 offset: 0x321000
    obj: 'O029', pid: 07, owner: 'sars', type: '_ool', perm: rw-, vaddr: 0x04C84000, size: 0x001000, phys: 0x887E65D000, tz0 offset: 0x589000
    obj: 'O031', pid: 09, owner: 'xART', type: '_ool', perm: rw-, vaddr: 0x0FEC7000, size: 0x001000, phys: 0x887E65F000, tz0 offset: 0x58B000
    obj: 'O038', pid: 08, owner: 'ARTM', type: '_ool', perm: rw-, vaddr: 0x03EE6000, size: 0x001000, phys: 0x887E670000, tz0 offset: 0x59C000

obj: 'ARTM', pid: 08
    obj: 'H000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x03EA6000, size: 0x006000, phys: 0x887E1E6000, tz0 offset: 0x112000
    obj: 'H001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x03EAC000, size: 0x001000, phys: 0x887E1EC000, tz0 offset: 0x118000
    obj: 'H002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x03EDD000, size: 0x001000, phys: 0x887E3DA000, tz0 offset: 0x306000
    obj: 'O037', pid: 11, owner: 'pass', type: '_ool', perm: rw-, vaddr: 0x0D0E0000, size: 0x001000, phys: 0x887E66F000, tz0 offset: 0x59B000
    obj: 'O038', pid: 08, owner: 'ARTM', type: '_ool', perm: rw-, vaddr: 0x03EE6000, size: 0x001000, phys: 0x887E670000, tz0 offset: 0x59C000

obj: 'xART', pid: 09
